,track_id,date,lon,lat
0,19790820,1979-09-13 15:00:00,-74.56744,-27.41918
1,19790820,1979-09-13 18:00:00,-72.71561,-30.24086
2,19790820,1979-09-13 21:00:00,-71.55466,-31.72176
3,19790820,1979-09-14 00:00:00,-70.28009,-32
4,19790820,1979-09-14 03:00:00,-69.46381,-32.3
5,19790820,1979-09-14 06:00:00,-68.62692,-32.5
6,19790820,1979-09-14 09:00:00,-67.74002,-33
7,19790820,1979-09-14 12:00:00,-66.77292,-33.3
8,19790820,1979-09-14 15:00:00,-66.28451,-33.6
9,19790820,1979-09-14 18:00:00,-65.66101,-33.7
10,19790820,1979-09-14 21:00:00,-65.19445999999999,-33.8
11,19790820,1979-09-15 00:00:00,-64.94144,-33.9
12,19790820,1979-09-15 03:00:00,-64.46921,-34
13,19790820,1979-09-15 06:00:00,-64.09024,-34.55764
14,19790820,1979-09-15 09:00:00,-63.68555,-34.6
15,19790820,1979-09-15 12:00:00,-63.10821,-34.7
16,19790820,1979-09-15 15:00:00,-62.49722,-34.8
17,19790820,1979-09-15 18:00:00,-61.69913,-34.9
18,19790820,1979-09-15 21:00:00,-60.63846,-35.24506
19,19790820,1979-09-16 00:00:00,-59.24945,-35.51849
20,19790820,1979-09-16 03:00:00,-58.23703,-35.9
21,19790820,1979-09-16 06:00:00,-57.36365,-36
22,19790820,1979-09-16 09:00:00,-56.74188,-36.5
23,19790820,1979-09-16 12:00:00,-56.66086,-36.6
24,19790820,1979-09-16 15:00:00,-56.14462,-36.7
25,19790820,1979-09-16 18:00:00,-55.69748,-37
26,19790820,1979-09-16 21:00:00,-55.33173,-37.1
27,19790820,1979-09-17 00:00:00,-54.80655,-37.3
28,19790820,1979-09-17 03:00:00,-54.34952,-37.6
29,19790820,1979-09-17 06:00:00,-53.48096,-38
30,19790820,1979-09-17 09:00:00,-52.26526,-38.5
31,19790820,1979-09-17 12:00:00,-51.799769999999995,-39
32,19790820,1979-09-17 15:00:00,-50.95172,-40
33,19790820,1979-09-17 18:00:00,-49.763369999999995,-41.50986
34,19790820,1979-09-17 21:00:00,-48.04282,-42
